"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
5.8,163.5,9.4,8,10.4,18.3,141.3
5.9,155.9,9.6,8.1,10.7,17.9,139.1
6,155.4,9.8,8.2,10.8,17.6,140
6.1,156.3,9.9,8.3,11,18.3,141.5
6.3,155.4,10,8.4,11.1,18.2,138.5
6.4,152.6,10.1,8.5,11.2,18.2,136.4
6.2,150.4,10.2,8.5,11.2,16.9,133.8
5.9,149,10.1,8.4,11.2,16,131.9
5.6,147.7,9.9,8.2,11.1,15.9,131.8
5.4,145.7,9.7,8,10.5,15.7,131.1
5.2,144.7,9.6,8,10.6,15.1,133.6
5,144.8,9.5,7.9,10.5,14.8,135.4
5.1,144.1,9.5,7.9,10.4,15.3,135.9
5.2,142.6,9.5,8,10.5,15.6,134.9
5.4,141.4,9.6,8.1,10.7,16,132.4
5.5,140.6,9.7,8.1,10.8,16,127.8
5.5,139.5,9.7,8.1,10.9,16.6,123.6
5.6,139.8,9.7,8.1,10.9,17,123.4
5.9,141.8,9.7,8.1,11,17.9,125.3
6.1,144,9.9,8.3,11.1,18,123.7
6.3,144.1,10.1,8.4,11.3,18.3,121
6.4,142.7,10.2,8.5,11.4,18.2,119
6.4,142.2,10.2,8.5,11.6,17.6,119.2
6.3,143.2,10.2,8.5,11.7,17.1,118
6.2,144.7,10.2,8.5,11.4,17.1,115.9
6.1,146.6,10.2,8.4,11.4,17,114.4
6.1,145.1,10.1,8.4,11.7,17.2,112.6
6.1,139.9,10.1,8.3,11.5,17.6,112
6.3,138.2,10.1,8.4,11.5,18.2,113.8
6.3,138.4,10.1,8.4,11.4,17.8,116.7
6.1,140,10.1,8.4,11.4,16.5,120.5
5.8,141.4,10.1,8.4,11.3,15.6,120
5.7,139.9,10,8.3,11.2,16.1,119.7
5.8,138.7,9.9,8.3,11.1,16.9,124.2
6,139.5,10,8.4,11.1,16.9,125.4
6.1,139.6,10,8.4,11.2,17.2,124.4
6.1,137.3,10.1,8.4,11.3,17.6,120.4
6.4,133,10.2,8.5,11.3,18.8,116.2
6.9,132.2,10.4,8.7,11.6,19.8,112.8
7.6,134.8,10.8,9,12,21,108.8
8.3,136.8,11.2,9.4,12.4,22.2,111.6
8.2,147.7,11.7,9.8,12.8,16.4,139.2
7,152,12.2,10.6,13.3,10.6,190.8
6.3,152.2,12.6,11.1,13.1,7.6,199
5.9,241.6,12.9,11.5,13,6.1,163.3
5.6,241.9,13.2,11.7,12.7,7.5,133.9
5.5,242.1,13.4,11.7,16.4,8.9,126.1
5.3,242.4,13.3,11.3,16.3,9,124.5
5.1,242.6,13.2,11,16.1,8.6,131.4
5,243,13.1,10.8,15.9,8.2,151.4
4.8,243.4,13.1,10.9,15.5,7.2,175.3
4.6,244,13.1,11.2,15.7,5.9,184
4.5,244.6,13.1,11.4,15.4,5,161.5
4.4,245.3,13,11.4,15.2,6.2,137.9
4.3,246.1,12.8,11,15,7.6,139.5
4.2,247,12.6,10.4,14.8,7.2,153.7
4,247.9,12.3,10,14.6,7.6,172.5
3.9,249.1,12,9.7,14.3,7.2,188.2
3.7,250.4,11.9,10,13.9,4.3,204.8
3.6,251.8,11.8,10.3,13.8,1.3,281.2
3.5,252.8,11.7,10.3,13.5,4.1,346.4
3.4,253.5,11.6,10.3,13.3,7.9,338.7
3.3,253.8,11.5,10.3,13.1,12.1,325.5
3.3,253.7,11,8.2,12.9,15.7,313.9
3.9,256,8.9,6.2,13,17.7,306.3
4.8,268.7,8.4,6.7,12.6,18.2,298.6
5.4,269.1,8.8,7.3,9,18.5,289.5
5.8,267.6,9.2,7.8,10.2,18.9,286.9
5.9,267.9,9.5,8,10.7,18,283.9
5.9,266.2,9.7,8.2,10.9,17.6,278.3
5.9,263.7,9.8,8.2,11.1,17.7,274.4
5.9,261.4,9.8,8.2,11.2,17.1,269.9
5.5,259.5,9.7,8.1,11.1,16.3,266.2
5,256.8,9.3,7.7,10.8,15.1,258.9
4.2,251.7,8.9,7.3,10.4,13.2,249.1
3.5,249,8.7,7,10.5,10.2,230.8
2.9,249,8.6,7,10.5,8.2,182.9
2.7,249,8.2,6.4,10.7,11.5,136.4
2.6,247.9,7.6,6.1,10.3,8.5,141.4
2.8,220.4,7.8,6.6,9.3,10.4,231.1
4.1,238.4,8.9,7.4,10.1,14.7,247
5.5,241,10,8.2,11.5,16.2,246.9
6.2,241.5,10.6,8.7,12.3,16.1,242.9
6.5,243.6,11.1,9.1,12.8,15.6,237.6
6.6,246.1,11.5,9.3,13.3,15,230.5
6.7,249.4,11.7,9.5,13.6,15.2,224.5
6.8,252.5,11.8,9.5,13.7,15.3,221.7
7,253.3,11.9,9.6,13.8,14.8,224.5
6.9,253.4,12.1,10,14,13.1,226.9
6.8,252.9,12.4,10.5,14.1,10.7,230.5
6.6,251.5,12.7,11.1,14.3,8.9,236.1
6.6,247.7,12.9,11.4,14,8.4,245.5
6.6,244.7,13.1,11.8,14.3,7.4,253.9
6.7,242.2,13.3,12.1,14.5,7.7,259.7
6.7,240.5,13.5,12.3,14.6,8.6,268.7
6.6,239.4,13.5,12.3,14.6,9.8,284.6
6.5,238.7,13.4,12.2,14.6,13,308.7
6.5,238.4,12.9,10.9,14.5,14.6,312.8
6.6,238.9,12.1,9.8,14.3,14.8,306.9
6.5,240.2,11.7,9.5,13.9,15,305.6
6.3,241.9,11.4,9.3,13.8,14.9,309.3
6.2,244,11.2,9.2,13.4,14.6,310.7
6,332.1,11,9.1,13.1,14.4,309.3
5.8,330.1,10.7,8.8,12.8,15.2,309.3
5.7,298.9,10.3,8.6,11.7,15.1,309.6
5.3,300.7,10.1,8.5,11.5,13.9,307.4
4.9,300.7,9.9,8.3,11.3,13.5,303
4.5,301.6,9.6,8,10.9,13,301.6
4.1,304,9.4,7.8,11,11.3,302.2
3.7,33.2,9.4,7.9,11.1,9,298.7
3.3,34.5,9.6,8.1,11,7.1,287.4
3,35.3,9.7,8.5,10.9,5.2,271.7
2.7,35.7,9.7,8.7,10.7,3.5,222
2.5,35.7,9.6,8.8,10.3,7,180
2.4,35.5,9.5,8.6,10.5,10.8,180.8
2.5,35.2,8.2,6.2,10.3,11.6,185.2
